" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","146","1599 宏佳騰","櫃電機","1.02","3.00","1.01","4.00","4.50","1.95","2.80","3.40","3.00","0.00","-","-","-","-","-","39.85"," "
" "," ","147","1603 華電","電器","0.50","0.50","1.00","0.50","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.10"," "
" "," ","148","1604 聲寶","電器","1.50","1.40","0.20","1.40","1.04","1.00","0.71","0.60","0.30","0.08","0.00","0.00","0.00","0.00","0.00","29.60"," "
" "," ","149","1605 華新","電器","0.50","1.20","1.00","0.70","0.21","0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.30","1.50","0.00","25.35"," "
" "," ","150","1608 華榮","電器","0.66","0.00","0.73","0.00","0.00","0.00","0.70","0.70","0.00","0.35","0.50","0.00","0.70","0.40","0.00","23.50"," "
" "," ","151","1609 大亞","電器","0.30","0.70","0.35","0.00","0.00","0.00","0.20","0.20","0.25","0.45","0.14","0.00","0.30","0.50","0.57","25.35"," "
" "," ","152","1611 中電","電器","1.20","0.15","1.00","0.00","0.00","0.00","0.00","0.20","1.20","1.28","1.20","0.60","1.20","1.00","1.00","10.35"," "
" "," ","153","1612 宏泰","電器","0.50","0.32","0.50","0.28","0.26","0.60","0.75","0.22","0.30","0.60","0.50","0.26","1.60","1.20","0.80","22.80"," "
" "," ","154","1614 三洋電","電器","0.83","0.91","0.70","1.05","0.81","0.76","0.90","0.86","1.19","0.92","1.16","0.32","1.12","1.18","1.50","33.80"," "
" "," ","155","1615 大山","電器","2.00","1.35","0.90","0.75","0.30","0.30","0.30","0.40","0.50","1.70","2.00","0.25","0.91","1.35","0.00","34.25"," "
" "," ","156","1616 億泰","電器","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.60","0.56","8.74"," "
" "," ","157","1617 榮星","電器","0.30","1.00","0.60","0.40","0.30","0.30","0.00","0.00","0.00","0.40","0.00","0.00","0.20","0.60","0.20","17.40"," "
" "," ","158","1618 合機","電器","0.30","0.30","0.30","0.30","0.35","0.20","0.00","0.50","0.50","0.60","0.00","0.20","0.00","0.00","0.30","13.00"," "
" "," ","159","1626 艾美特-KY","電器","1.00","0.00","0.10","1.00","0.00","0.00","2.55","2.50","-","-","-","-","-","-","-","24.35"," "
" "," ","160","1701 中化","生技","0.80","0.80","0.60","0.60","0.60","0.60","0.50","0.50","0.50","0.70","0.70","0.20","0.50","0.70","0.70","22.25"," "
" "," ","161","1702 南僑","食品","2.00","2.70","2.70","2.80","2.60","2.10","2.00","1.00","0.55","1.40","0.00","0.00","0.00","0.00","0.00","48.65"," "
" "," ","162","1707 葡萄王","生技","6.50","6.50","6.68","6.40","5.60","5.30","5.00","3.70","3.00","2.50","2.00","1.00","1.20","0.80","0.60","165.00"," "
